ScreenName,latitude,Longitude
AkshayS59946736,23.022505,72.5713621
Aktualis,60.472024,8.468946
Alasdair91,56.4906712,-4.2026458
Alcowep,18.220833,-66.590149
AlDavoodi,51.4818445,7.2162363
alderleymel,53.301554,-2.237216
AleOfATime,-37.8136276,144.9630576
AlertForce_AU,-33.8688197,151.2092955
alexglen_holmes,-31.333333,152.8
alexhsings,51.0486151,-114.0708459
ALFREYGREEN,55.378051,-3.435973
AlgeriaTweets,36.753768,3.0587561
alicmurray,55.864237,-4.251806
alimhaider,51.444481,-0.5660309
alistairbayford,52.022593,0.239215
AlistairLamond1,-33.8688197,151.2092955
Allen201612138,39.3433574,117.3616476
alok_rout,13.0826802,80.2707184
Alok143RR,17.385044,78.486671
alokmitra,19.0759837,72.8776559
amandajanewd,-34.9284989,138.6007456
amansandhu0000,17.385044,78.486671
amaragrawalBJP,21.2786567,81.8661442
amarbiradar21,12.9715987,77.5945627
Amardeep2009,28.6139391,77.2090212
ambu78,19.0759837,72.8776559
Amit_agu,22.572646,88.363895
amit_NWI,28.7040592,77.1024902
amit6887,21.2513844,81.6296413
amitAhlawat0710,28.6139391,77.2090212
amitanirudha,20.2960587,85.8245398
amitchuttar,19.0759837,72.8776559
amiteshkishore,25.416675,86.1293792
amitkalraj,26.8467088,80.9461592
amits900,19.0759837,72.8776559
amitsharmaa1,17.385044,78.486671
amitsurg,19.0759837,72.8776559
amitsuthar189,21.1702401,72.8310607
Amitswa11523136,19.2253385,72.8338003
AmitUpadhyaya7,28.6139391,77.2090212
AMShah0505,18.9430864,72.8271764
an8_6,20.745319,78.6021946
Analyeast,19.0759837,72.8776559
Analyst26Guru,20.593684,78.96288
anand_jpc,22.572646,88.363895
anandchokshi19,20.593684,78.96288
anandjoshi78,19.0759837,72.8776559
anandpkrishnan,28.5561624,77.0999578
AnandSh05814373,31.1048145,77.1734033
AnandShankar7,23.6329221,85.3032811
anandvamsi,12.9715987,77.5945627
ANANTVANI,28.6188619,77.2416054
AnBee3,22.572646,88.363895
anbu2089,11.1271225,78.6568942
andkelkar,19.0759837,72.8776559
Andrew_Marcus21,-37.8136276,144.9630576
andrewkjs,3.1278871,101.5944885
andyjomo,-1.0130645,36.9050566
Angarukamu,0.3475964,32.5825197
angusmrobinson,-33.8688197,151.2092955
anilcjoshi,28.6139391,77.2090212
AnilNspl,20.593684,78.96288
anindya123,28.6139391,77.2090212
anir_nag,20.593684,78.96288
anirban1970,26.1445169,91.7362365
Anirudd695,20.593684,78.96288
AnjaliD78445881,25.4358011,81.846311
anjani_chouhan,21.8974003,83.3949632
ankit02sharma,20.593684,78.96288
ankit1028,26.2196205,84.3566593
AnkitaC864,24.8332708,92.7789054
Ankitasingh759,23.3440997,85.309562
ankitdraco,28.6840819,77.0514093
AnkitMittal_,22.572646,88.363895
ankur0906,28.5355161,77.3910265
anmol777jackson,28.7308547,77.1749927
anmolbansal14,28.6139391,77.2090212
AnnaHank2,-33.8688197,151.2092955
annemac33,55.958674,-2.7748641
AnnFChapman,51.4968938,-0.1878107
AnnieDanz,43.653226,-79.3831843
Anshumali_D,12.9715987,77.5945627
anshumanbharati,19.0759837,72.8776559
AnshumanKhanna2,28.6139391,77.2090212
anthony_s_a,-0.789275,113.921327
AnthonyChisholm,-27.4697707,153.0251235
AnthonyDoWalker,-31.9505269,115.8604572
AnthonySald,56.130366,-106.346771
anuragrbl,22.572646,88.363895
AnvitSrivastava,28.6139391,77.2090212
apache14,-1.2920659,36.8219462
AptusBLI,-37.8136276,144.9630576
ARENTREPRENEUR,20.593684,78.96288
arigatotiramisu,52.8453964,-0.5332238
arindam1968,22.6520429,88.4463299
arisingz,-33.8688197,151.2092955
Arjunville,26.8466937,80.946166
ArjunVyasTweets,19.0759837,72.8776559
armsrisk1,-37.8136276,144.9630576
arniegess,51.797215,-114.640501
AroonavaSinha,28.4594965,77.0266383
arpanarani,28.6139391,77.2090212
ArraPraveen,17.385044,78.486671
ars83b,22.1993143,84.8620054
ArtyAnimal006,52.3555177,-1.1743197
arungiri,18.5204303,73.8567437
ArunkrHt,25.5940947,85.1375645
arvind_joshi,20.593684,78.96288
arvindbiom,22.8045665,86.2028754
ASadziux,52.3555177,-1.1743197
ASCENTweets,19.0759837,72.8776559
AselMuse,42.8983715,71.3979891
ashgarg3,12.9715987,77.5945627
ashish_garasiya,23.1824733,74.2076606
Ashish_Narayan_,25.3478004,86.9824288
Ashish79887474,28.6139391,77.2090212
ashishjainiws,29.3909464,76.9635023
AshishMerkhed,21.1458004,79.0881546
ashokkmrsingh,28.4743879,77.5039904
ashokramsingh,20.593684,78.96288
ashwanig7696,30.900965,75.8572758
Ashwanimathur4,20.593684,78.96288
ashwanisingh301,19.0759837,72.8776559
ashwathvyas,17.385044,78.486671
ashwinbengali,18.5204303,73.8567437
ashwinikarvi,19.0759837,72.8776559
Asishguha,12.9715987,77.5945627
AskAmbedkar,28.6139391,77.2090212
ASLSAus,-27.4697707,153.0251235
associatedstl,19.0759837,72.8776559
asswesee,20.593684,78.96288
AstroImages,57.149717,-2.094278
asxstocktips,-25.274398,133.775136
ATECGmbH,47.516231,14.550072
AtifMatinansari,30.1798398,66.9749731
atiwary1,19.0759837,72.8776559
atul1chaturvedi,28.6139391,77.2090212
AugConsulting,19.0759837,72.8776559
Ausbiznet,-25.274398,133.775136
austdef,-35.2809368,149.1300092
AustInvestAssoc,-25.274398,133.775136
australian,-33.8688197,151.2092955
AusUnlimited,-25.274398,133.775136
Autism_TO,45.4112588,-75.69024
avik_debnath,28.6139391,77.2090212
AvinashGoraksha,19.0759837,72.8776559
awesummly,12.9715987,77.5945627
AWUnion,-25.274398,133.775136
AYCC,-25.274398,133.775136
AyushS016,22.7195687,75.8577258
bablisi25363858,25.5940947,85.1375645
babulalsuthar1,25.1418179,73.0626351
baggaprateek,28.7040592,77.1024902
baijendra,17.385044,78.486671
Bakaait,20.593684,78.96288
balajispice,13.0826802,80.2707184
BalakrishnanGN,20.593684,78.96288
baldevskhandela,27.6094,75.139911
bally1212,56.130366,-106.346771
Balmer_Lawrie,20.593684,78.96288
bamajay89,52.486243,-1.890401
BamelSwarn,28.8955152,76.606611
bansalnimis,28.6139391,77.2090212
Barlow4Labour,54.5704551,-1.3289821
BarlowLauriem,-31.9505269,115.8604572
BarrieSalter,53.504733,-1.559932
barrymc2010,51.5073509,-0.1277583
barryzimmo,54.574227,-1.234956
barvesindia,18.5204303,73.8567437
Basanthchaithra,13.8329901,75.7080727
BBrind,51.5073509,-0.1277583
beaugems,51.5125812,-0.0834019
beith123,56.4906712,-4.2026458
BelRCymru,51.6652789,-3.3636384
BENEFITS_NEWS,55.378051,-3.435973
BenjaminThistl2,-34.2770452,140.6077318
bexsaldanha,19.0759837,72.8776559
BF_VERMA,23.3440997,85.309562
bhaisepravin,18.5204303,73.8567437
Bhaktavatsulu1,28.0656752,79.4722174
BhanotRajender,19.1435906,72.8246291
bhanu_datta,21.2786567,81.8661442
Bhanushalisatis,19.0759837,72.8776559
Bharat_Putra,26.8466937,80.946166
Bharat_Samvad,20.593684,78.96288
Bharath_Kumar_M,17.385044,78.486671
BharathShenoy1,12.9715987,77.5945627
BharatKr_Singh,20.593684,78.96288
BharatNiti_UP,26.8467088,80.9461592
BhattVeeru,19.0759837,72.8776559
bhavanarnath,20.593684,78.96288
bhaveshsw,28.4594965,77.0266383
bhavin_bjp,23.022505,72.5713621
BHCMax,55.864237,-4.251806
Bhupendergoel,30.7333148,76.7794179
Bhupendra_1507,22.7195687,75.8577258
bhuvimore,19.0759837,72.8776559
BIAUS,-25.274398,133.775136
biggeorgie8,51.5117971,-0.1279256
BigInnovCentre,51.5073509,-0.1277583
bignormplease,56.4906712,-4.2026458
bigwildrover,52.829374,-1.332134
BigWraca,54.574227,-1.234956
bijuSwain,20.593684,78.96288
bikram_aims,20.593684,78.96288
Bilieber_KaranC,12.9715987,77.5945627
BIMGraham,55.378051,-3.435973
Bindmans,54.944116,-1.674552
bire_nayan,20.3887937,78.1204073
birgittasalmi,60.1698557,24.9383791
bitspec,56.130366,-106.346771
Bittoeat,55.9716266,-3.6025847
Bittuverma7,22.572646,88.363895
BJP4AmdavadCity,23.022505,72.5713621
BJP4Ellishbridg,23.025928,72.566325
BJP4Gujarat,22.258652,71.1923805
BJP4KeralamNews,10.8505159,76.2710833
bjpayyasamy,11.9138598,79.8144722
BJPmanmohan,17.385044,78.486671
BJYM4Mehsana,22.258652,71.1923805
bk_chudasama,22.4707019,70.05773
BkiJspl,23.6329221,85.3032811
Blacknight1957,53.381129,-1.470085
blanca_mar2004,19.0414398,-98.2062727
BlogAlba,56.4906712,-4.2026458
BNolopp,53.1434501,8.2145521
born2engineer,55.378051,-3.435973
borolabour,54.574227,-1.234956
bpnsi,19.8133822,85.8314655
BPowell300,56.4906712,-4.2026458
bpth67,55.900099,-4.404774
Brands_India,20.593684,78.96288
Braveant,19.0759837,72.8776559
brentonscroop,-34.9284989,138.6007456
BrettFoley1,-37.8136276,144.9630576
BrettW_online,-34.9284989,138.6007456
BrianSJ3,55.458564,-4.629179
Brianthelion11,52.3555177,-1.1743197
BrickoProShop,40.739825,-73.986079
BritEuropa,50.1467469,8.5614555
BrittonGillian,55.864237,-4.251806
BriW74,51.5073509,-0.1277583
burdzeyeview,56.4906712,-4.2026458
burnaftereading,52.9547832,-1.1581086
Byron_D11,49.895136,-97.1383744
C_E,51.5073509,-0.1277583
CA_Saiprasad,20.593684,78.96288
ca_sanjeevgodha,21.1904494,81.2849169
call_amit,28.4594965,77.0266383
calle_arturo,4.8087174,-75.690601
CAMacroAnalysis,-35.2776999,149.118527
cambuslangsteve,55.820982,-4.164891
CampinAlberta,53.9332706,-116.5765035
camybobany,-20.7722295,144.7851531
CanCInnovations,45.4215296,-75.6971931
Canisp,58.593566,-3.52208
CannonCabbie,51.5073509,-0.1277583
Canuck289,42.9849233,-81.2452768
capital_taiyo,35.6894875,139.6917064
carcasall,22.396428,114.109497
Cardaledoors,51.8786707,-0.4200255
CarolMc1964,55.378051,-3.435973
CARPEXPLORE,-27.4697707,153.0251235
carvk,13.0826802,80.2707184
Casper10666,56.4906712,-4.2026458
CEAI_INDIA,28.6139391,77.2090212
cedamia_AU,-25.274398,133.775136
cguthier,51.7612056,-1.2464674
Cjaeworldwide,51.5073509,-0.1277583
ClickThermal,50.8441818,-1.8634717
cllrjjames,51.4095958,-3.4848167
ClumsyPilot,52.486243,-1.890401
Commodity52now,56.130366,-106.346771
Contempislesfic,52.415303,-4.08292
CosmicAum,-25.274398,133.775136
Cr7_Es_Miiiiooo,37.3890924,-5.9844589
CRtheKing,51.165691,10.451526
cspkpandya,19.0759837,72.8776559
csrengarajan,13.0826802,80.2707184
CVIDYASHANKAR3,22.1053397,85.3789642
cyborgbob,12.9715987,77.5945627
cynthguthrie,55.9493383,-2.7704464
cyprisfashion,23.3790333,113.7632828
D_Creggie,57.0774553,-2.775336
d_mugavin,-34.9284989,138.6007456
D_Poggiolini,-26.2707593,28.1122679
D0456Len,50.908596,0.2494235
D4444Syd,56.462018,-2.970721
d8veyboy,53.723466,-1.345968
Dadavaldeger,-14.235004,-51.92528
DAdonisd,-37.8136276,144.9630576
daisymorichelli,51.5073509,-0.1277583
Damage_13,52.3555177,-1.1743197
DamingGroup,35.86166,104.195397
dan_spencer123,-34.9284989,138.6007456
DannyShookNews,50.0294877,8.6949231
DanWaltonAWU,-33.8688197,151.2092955
Darkblue1965,56.462018,-2.970721
Darshansinh222,23.2599333,77.412615
DarshikaO,28.8386481,78.7733286
dartfacts,20.593684,78.96288
das_222,22.572646,88.363895
daven_rawat,28.6139391,77.2090212
Dawnf1,51.5073509,-0.1277583
Dazza_20,-33.8688197,151.2092955
dbfossum,51.0486151,-114.0708459
DCIJAC,52.3105386,4.7682744
ddshah1,23.022505,72.5713621
DebraClaridge,52.4750743,-1.829833
debroys,22.572646,88.363895
debu2210,21.8974003,83.3949632
deep29483000,28.6139391,77.2090212
DefenceES,51.454513,-2.58791
defencewithac,55.378051,-3.435973
Defiaye,56.4906712,-4.2026458
DelhiMuse,28.5355161,77.3910265
deoradh1,52.1367978,-0.7067752
derek_abbott60,-34.9284989,138.6007456
derekmans1,-30.559482,22.937506
desaiardeshir,19.0759837,72.8776559
desh_bhkt,30.3164945,78.0321918
desigolfers,-26.2041028,28.0473051
Deveshvari,20.593684,78.96288
DevinaET,19.0759837,72.8776559
Devinder_Sharma,20.593684,78.96288
DevLadpura,20.593684,78.96288
devofcourse,22.572646,88.363895
DevonianMatthew,55.864237,-4.251806
DharamKATM,28.4594965,77.0266383
dhargeminiint,20.593684,78.96288
dheerajpanday55,28.6139391,77.2090212
dianebeautysupp,43.5890452,-79.6441198
DickiesJ32,53.723466,-1.345968
digantahazarika,28.6139391,77.2090212
diggaj_sharma,30.6942091,76.860565
digitalbizumzl1,5.070275,-75.5138166
DigitalSpirit1,55.958674,-2.7748641
digitourismscot,56.4906712,-4.2026458
DikshitSmita,28.6139391,77.2090212
DilipGhoshBJP,22.9867569,87.8549755
DilipTirkey,20.9516658,85.0985236
DilliDurAst,28.7040592,77.1024902
Dineshphysio,28.6139391,77.2090212
dipaliblaskar,19.0759837,72.8776559
discreetsecure,53.1748548,-1.1871497
ditshedi,-26.2041028,28.0473051
divy446,19.0759837,72.8776559
dj_0403,23.2397572,69.6689305
DKSHARMA358,28.6139391,77.2090212
dmrider,43.653226,-79.3831843
doc_mamta,28.6139391,77.2090212
dougiewestender,55.864237,-4.251806
Dr_RamSwaroop13,24.6961343,84.9869547
Dr_Uditraj,28.6139391,77.2090212
drajadhikary,19.0759837,72.8776559
DrGORichards,53.381129,-1.470085
drifter1753,28.7040592,77.1024902
drjdonald,43.653226,-79.3831843
DRP_2014,27.0238036,74.2179326
drpaulitious,50.118798,-5.537592
drpetrie48,56.9644717,-2.2078238
DrRichThackray,53.381129,-1.470085
dubh_in_ainm,55.992571,-4.5907831
duniaindustri,-6.17511,106.8650395
DunKhan,50.8279319,-0.168749
dunleavy138,55.864237,-4.251806
dunphail,57.149717,-2.094278
duplexsupply,19.0759837,72.8776559
Dwanesterrr,51.0486151,-114.0708459
dwivedimk_ias,28.611014,77.2122442
dwivedy21977,28.5355161,77.3910265
dylanpvries,-26.2041028,28.0473051
DyneTechnology,52.681602,-1.831672
e_brailsford,56.4906712,-4.2026458
EAGCharlesB,51.7612056,-1.2464674
Eagleresa,-33.8688197,151.2092955
Earindill,55.864237,-4.251806
eatwellbewell1,46.5653163,-66.4619164
ebony_bennett,-35.2809368,149.1300092
EBSGeo,51.253775,-85.323214
eC4energy,45.4215296,-75.6971931
economist_chief,-35.2809368,149.1300092
EdWestCLP,55.953252,-3.188267
EEF_JoBritton,53.4807593,-2.2426305
EEF_Press,51.5073509,-0.1277583
eevee_ws,55.953252,-3.188267
efa101,9.0764785,7.398574
EffComPR,51.481581,-3.17909
ektrit,43.653226,-79.3831843
ElaineFoster10,56.4906712,-4.2026458
Electromate,43.653226,-79.3831843
ElinTJones,52.112903,-4.078509
Ellajenny2,56.4906712,-4.2026458
ellen_coyle,56.4906712,-4.2026458
EllenRenton,56.002318,-4.734014
elliotsci,51.81846,-0.358953
Emman_Smith,-25.274398,133.775136
emmwilsonn,53.8007554,-1.5490774
Endo_Australia,-38.023125,145.265354
engelstad_b,60.7945331,11.0679977
engineerpradeep,13.0826802,80.2707184
enphyengg,20.593684,78.96288
Epoxymix,-33.8688197,151.2092955
ErannaGh,13.9402793,77.2717168
erply,59.4385395,24.76379
Esdben2001,37.3890924,-5.9844589
ESniranjanKuma1,12.9715987,77.5945627
EsskayMishra,20.593684,78.96288
EUBioplastics,52.5200066,13.404954
EuropeanBriton,55.378051,-3.435973
EuropeStreet,51.5073509,-0.1277583
EvolveSk8boards,-25.274398,133.775136
excelofficesys,17.385044,78.486671
ExecEdLeeds,53.8007554,-1.5490774
exmaglux,53.7632254,-2.7044052
ExpatJake,56.130366,-106.346771
f_grovewhite,51.5073509,-0.1277583
fabiodeagelu,-38.0054771,-57.5426106
fairplaythings,45.4215296,-75.6971931
fairynuff1979,56.4906712,-4.2026458
fatzdomingo,55.864237,-4.251806
FayazBaloxh,25.5065301,69.0135706
feb12boy,-22.95882,149.4270019
FeCarmi,55.864237,-4.251806
felft,-37.8136276,144.9630576
Fellow_Tweeter,55.378051,-3.435973
fencitaus,-25.274398,133.775136
Ferrepro,19.2464696,-99.1013498
ferrisss,-30.0346471,-51.2176584
fifthgentech,13.0826802,80.2707184
Filapek,-33.8688197,151.2092955
FinancialReview,-25.274398,133.775136
finishedlast,-34.9284989,138.6007456
FinishingPrint,55.378051,-3.435973
finmarketwisdom,51.5073509,-0.1277583
fionahtweet,55.953252,-3.188267
FireDragon1952,52.1306607,-3.7837117
FloryanR,48.856614,2.3522219
fltderosa,-33.8688197,151.2092955
followkuldeep12,26.8467088,80.9461592
ForBJPGujarat,22.258652,71.1923805
ForexCTResearch,-25.274398,133.775136
ForsiddharthM,28.6139391,77.2090212
forum_hss,51.1678567,6.9352253
foshtown,56.4906712,-4.2026458
FrancesNicholso,53.381129,-1.470085
Fraser_92,57.149717,-2.094278
frederic006,43.9466791,7.179026
FrontlineRE,48.0400945,-122.406257
FunkyPMonkey,55.864237,-4.251806
funwithstuff,-27.4697707,153.0251235
FVolt,48.856614,2.3522219
GabuKaratu,-1.3107241,36.7915633
gajendarbjp,26.1445169,91.7362365
GangaWignarajah,45.4215296,-75.6971931
GAPonsonby,56.4906712,-4.2026458
gardenerj668,54.5974636,-1.0779515
Garossino,49.2827291,-123.1207375
GaryFallon2,-37.8136276,144.9630576
GaryFernon,51.7343313,0.4690888
GasBuddyDan,43.653226,-79.3831843
gaurang_18,23.022505,72.5713621
Gauravbjpfzd,27.1591006,78.3957574
GaurVatsala,19.0759837,72.8776559
gautambhalotia,28.6139391,77.2090212
GautamGhosh,26.8466937,80.946166
GautamkumarSir,25.3176452,82.9739144
gautamrgupta,19.0759837,72.8776559
gayle_davie,50.7155591,-3.530875
gcentore,39.2238411,9.1216613
geekaymenon11,20.593684,78.96288
geeta_ramanath,19.0759837,72.8776559
Geetu_Moza,28.6139391,77.2090212
GemmaActon,-33.8688197,151.2092955
Geograph_Bob,55.378051,-3.435973
GeordieGhirl88,55.864237,-4.251806
geordiemoore58,56.4906712,-4.2026458
GeordieTommy_,54.978252,-1.61778
GeraldMachethe,-26.2325897,28.2409671
Gergyl,-27.4697707,153.0251235
get_business,-25.274398,133.775136
getindustry,-25.274398,133.775136
ggs83,20.593684,78.96288
GiiAgentur,52.5200066,13.404954
GillianSproule,55.953252,-3.188267
girirajsinghbjp,25.0960742,85.3131194
girishjosh,19.0759837,72.8776559
glasgowcathcart,55.8276772,-4.2857972
GlencoreAus,-25.274398,133.775136
GlobalCCS_Alex,-37.8136276,144.9630576
GlobalCCS_Brad,-37.8136276,144.9630576
GMacdonaldMSP,55.9163761,-3.2607869
go4avinash,20.593684,78.96288
gobi7181,11.4504099,77.4300357
gokul25,20.593684,78.96288
gompa9999,17.6868159,83.2184815
gopalreports,22.3038945,70.8021599
gorbalsgal,55.864237,-4.251806
gordon_low,52.1359735,-0.4666565
GordonMcKee_,55.378051,-3.435973
Govinda71951660,21.8974003,83.3949632
govindbiswas,19.0759837,72.8776559
govindsharma999,26.1007337,74.3190747
GovtOfIndia_,28.6139391,77.2090212
gpgobinath,11.3981936,79.6953594
GRaccurt,45.248534,5.828113
gradconsult,53.381129,-1.470085
graham_euan,-33.8688197,151.2092955
GrahamKlerks,-33.8688197,151.2092955
GrahamRobb,52.3555177,-1.1743197
GraitecCanada,56.130366,-106.346771
Grazilmed,32.4944991,74.5228916
GreenBayMedia,55.378051,-3.435973
GreenCap13,-37.8136276,144.9630576
GreensJagajaga,-37.714,145.066
GreenTerraHomes,43.653226,-79.3831843
gretnabhoy,55.6416731,-4.75946
GribbenPatrick,52.3555177,-1.1743197
GrogsGamut,-35.2809368,149.1300092
GrumpyOldeDude,-37.8136276,144.9630576
GSPL48,25.0700428,67.2847875
GSTmitra,22.258652,71.1923805
guha_rajarshi,28.6139391,77.2090212
guiye_robles,-32.8894587,-68.8458386
GuptaPei,31.2240198,75.7708013
GWH_FABRICATION,53.321356,-0.945503
gwmclean,56.4906712,-4.2026458
gwpurnell,55.953252,-3.188267
gzmnrydn,55.9544229,-3.1166498
HaasUK,55.378051,-3.435973
hairyokel,55.378051,-3.435973
hambudge,58.209435,-6.3848692
hamiltonchamber,51.253775,-85.323214
Hannahclark0479,53.4807593,-2.2426305
happy_pipes,56.130366,-106.346771
HaridasInfo,22.7736196,72.334073
harish202us,28.6139391,77.2090212
HariswarBSuru,22.3038945,70.8021599
HaroonChodhry,33.6600365,73.2293542
Harsh_Gadani,23.022505,72.5713621
harsheetspeaks,20.593684,78.96288
Hatstweet2014,19.0759837,72.8776559
Havergoe,51.4332367,7.6615938
hbthoms,52.411811,-1.77761
heathmoss83,-34.9284989,138.6007456
HelenArmet,58.984674,-2.9622491
HelenRushby1,52.829374,-1.332134
HenriettaSandwi,51.481581,-3.17909
HewettBiz,52.388596,-2.2496839
hgguyse,51.5073509,-0.1277583
Hhhpie,51.5073509,-0.1277583
Hindustan360,20.593684,78.96288
hirenpanchal91,23.6036268,72.9639461
HistoryoFlight,49.895136,-97.1383744
HKaaman,60.128161,18.643501
HolyGanga,28.7040592,77.1024902
HomeLivingStore,51.5073509,-0.1277583
HrancoSteel,50.0405486,-110.6764257
hsbmr88,25.7531537,71.4180622
hspatel282,21.8974003,83.3949632
HughAWilliamson,52.5200066,13.404954
HughMurdoch2,-41.4545196,145.9706647
Hugorelly,51.4660307,-1.051787
humamal12590247,31.5203696,74.3587473
Hyvast,57.149717,-2.094278
i_maneeshsvt,20.593684,78.96288
iam_sharmistha,22.572646,88.363895
iamaashray,26.449923,80.3318736
iamajayvaghela,23.2156354,72.6369415
iamandeepdua,20.593684,78.96288
iamharshitn,20.2960587,85.8245398
iamhasu,19.0759837,72.8776559
iampranjan,22.258652,71.1923805
IamrajatShukla,26.7883668,82.2008554
iamsuchha,20.593684,78.96288
IanTurgoose,53.381129,-1.470085
iapurvbhansali,26.2389469,73.0243094
Ibrahim_Serouis,36.9796032,140.0340604
ibrarkh95101821,25.5940947,85.1375645
ibschauhan,26.8716723,80.9810636
ICRALimited,28.4594965,77.0266383
ifs_china,31.2303904,121.4737021
Iggysparkie,55.958674,-2.7748641
iispat,19.0759837,72.8776559
ijagdishCM,19.0759837,72.8776559
IKONComplete,43.653226,-79.3831843
illawarramerc,-34.4278121,150.8930607
IMADSCOTLAND,55.866267,-3.962566
imaheshgupta,24.076836,75.0692952
Imamol97,18.5204303,73.8567437
IMC_Learning,-37.8136276,144.9630576
IMChq,-33.8688197,151.2092955
imdilip_patel,24.6322756,72.3074065
imdpem,28.7040592,77.1024902
imharshaj,19.2183307,72.9780897
ImIndiasMe,20.593684,78.96288
IMS_Machinery,-25.274398,133.775136
ImTrippz,-25.274398,133.775136
IMYYRU,-31.2532183,146.921099
Inclinepress,53.5409298,-2.1113659
IncotecUK,53.381129,-1.470085
ind_structures,53.2326344,-2.6103158
IndependentScot,56.4906712,-4.2026458
InderChadha2,20.593684,78.96288
inderjeet12377,20.593684,78.96288
inderjeets74,31.6861745,76.5213092
InderKilam,28.4089123,77.3177894
Indian_Liars,20.593684,78.96288
indian24news,20.593684,78.96288
IndiaRatings,19.0759837,72.8776559
IndiBlu,-37.8136276,144.9630576
IndiScoLady,55.864237,-4.251806
industrygo,-25.274398,133.775136
IndyLurker,55.846654,-4.5331259
InManojsingh,28.6139391,77.2090212
InnovateJon,52.1306607,-3.7837117
inunocheese,-25.274398,133.775136
InvestIdeas1,28.6139391,77.2090212
InvestOntario,51.253775,-85.323214
InvestorGroup1,43.653226,-79.3831843
iOnkarPandey,18.5204303,73.8567437
irfankhazda2,24.9143797,67.0315657
IronOreIndex,51.5107166,-0.3260627
ishwarsingh121,30.0237137,76.5184741
iSushilPandey,25.3176452,82.9739144
jacinnes,55.953252,-3.188267
jackojacko1960,53.683298,-1.505924
JAEdinburgh,56.058809,-3.2339151
jaidevadidev,31.1272972,77.2527691
JaidevGurnani,22.258652,71.1923805
Jaikumar099,15.9128998,79.7399875
jaimeatrevino,25.6866142,-100.3161126
JajaborManas,26.2006043,92.9375739
jajuyogeshb,18.5204303,73.8567437
jakekorab,51.454513,-2.58791
jamesbeighton,54.58156,-0.975134
JamesBoxUK,55.378051,-3.435973
JamesGlynnWSJ,-33.8688197,151.2092955
